Lightcurve (raw) :   64675
Time (BJD)     Flux      Status
--------------------------------------
151.14945       -0.00017    1
151.16988       -0.00017    1
151.19032       -0.00034    1
151.21075       -0.00005    1
151.23119       -0.00012    1
151.25162        0.00042    1
151.27206        0.00007    1
151.29249       -0.00030    1
151.31292       -0.00032    1
151.33336        0.00006    1
151.35379        0.00002    1
151.37423       -0.00002    1
151.39466       -0.00026    1
151.41510       -0.00025    1
151.43553        0.00005    1
151.45596       -0.00005    1
151.47640        0.00006    1
151.49683        0.00023    1
151.51727        0.00012    1
151.53770        0.00012    1
151.55814       -0.00002    1
151.57857       -0.00013    1
151.59900       -0.00025    1
151.61944        0.00003    1
151.63987        0.00022    1
151.68074        0.00017    1
151.70118        0.00018    1
151.72161       -0.00013    1
151.74204       -0.00031    1
151.76248       -0.00045    1
151.78291       -0.00046    1
151.80335       -0.00042    1
151.82378       -0.00025    1
151.84422       -0.00003    1
151.86465        0.00002    1
151.88509       -0.00004    1
151.90552        0.00037    1
151.92595        0.00013    1
151.94639        0.00046    1
151.96682        0.00022    1
151.98726        0.00014    1
152.00769       -0.00004    1
152.02813        0.00001    1
152.04856        0.00010    1
152.06899        0.00002    1
152.08943        0.00017    1
152.10986        0.00017    1
152.13030        0.00070    1
152.15073        0.00013    1
152.17117        0.00017    1
152.19160       -0.00031    1
152.21203       -0.00062    1
152.23247       -0.00038    1
152.25290       -0.00040    1
152.27334       -0.00022    1
152.31421        0.00029    1
152.33464        0.00047    1
152.35507        0.00083    1
152.37551        0.00052    1
152.39594        0.00013    1
152.41638       -0.00000    1
152.43681       -0.00033    1
152.45725       -0.00064    1
152.47768       -0.00107    1
152.49812       -0.00093    1
152.51855       -0.00048    1
152.53898        0.00000    1
152.55942        0.00051    1
152.57985        0.00075    1
152.60029        0.00100    1
152.62072        0.00112    1
152.64116        0.00076    1
152.68202       -0.00072    1
152.70246       -0.00088    1
152.72289       -0.00096    1
152.74333       -0.00066    1
152.76376       -0.00039    1
152.78420       -0.00000    1
152.80463       -0.00006    1
152.82506        0.00014    1
152.84550        0.00046    1
152.86593        0.00039    1
152.88637        0.00044    1
152.90680        0.00010    1
152.92724        0.00003    1
152.94767       -0.00014    1
152.96810       -0.00092    1
152.98854       -0.00074    1
